candidate_label	selection_role	feature_scope	feature_id	host_gene	host_gene_source	cell_id	support	detected_cells	prevalence	total_support	sparsity
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_1	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_10	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_100	4.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_101	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_102	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_103	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_104	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_105	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_106	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_107	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_108	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_109	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_11	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_110	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_111	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_112	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_113	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_114	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_115	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_116	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_117	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_118	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_119	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_12	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_120	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_121	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_122	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_123	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_124	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_125	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_126	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_127	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_128	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_129	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_13	0.0	11	0.057291666666666664	29.0	0.9427083333333334
DYNC2I1_host	backup_host_gene_candidate	host_gene	DYNC2I1	DYNC2I1	aggregate	DIYHEK_130	0.0	11	0.057291666666666664	29.0	0.9427083333333334
